student_id,study_hours,sleep_hours,attendance,score
1,7,6,81,69
2,4,8,55,37
3,8,9,81,79
4,5,6,53,48
5,7,4,60,63
6,3,8,66,47
7,7,5,87,57
8,8,9,73,67
9,5,6,54,49
10,4,4,83,52
11,8,5,55,58
12,8,5,71,55
13,3,7,60,31
14,6,8,97,69
15,5,6,65,40
16,2,4,82,28
17,8,7,58,70
18,6,8,55,65
19,2,7,65,30
20,5,9,78,50
21,1,8,52,37
22,6,8,69,65
23,9,6,85,75
24,1,8,68,37
25,3,7,75,39
26,7,8,52,53
27,4,6,68,43
28,9,6,69,64
29,3,9,81,55
30,5,7,56,53
31,3,5,90,35
32,7,5,82,51
33,5,8,89,67
34,9,9,88,70
35,7,4,67,48
36,2,8,89,50
37,4,9,50,47
38,9,7,60,63
39,2,7,77,36
40,9,7,74,76
41,5,7,99,65
42,2,7,72,42
43,4,9,80,45
44,7,9,79,67
45,8,6,91,61
46,3,5,84,47
47,1,7,56,27
48,4,4,65,31
49,2,9,75,41
50,8,4,97,67
51,4,4,98,52
52,2,4,51,24
53,6,6,50,51
54,6,9,97,59
55,4,4,61,47
56,6,7,54,56
57,2,8,86,39
58,2,4,81,27
59,4,6,58,45
60,8,9,90,85
61,7,6,84,53
62,9,4,68,63
63,8,9,97,80
64,5,8,65,59
65,2,4,52,31
66,5,6,69,51
67,8,5,73,72
68,9,7,82,79
69,9,6,73,62
70,1,9,60,26
71,9,4,98,80
72,7,7,57,66
73,9,4,85,79
74,8,9,87,74
75,1,4,89,25
76,8,5,69,67
77,8,7,84,70
78,3,7,97,42
79,1,9,74,27
80,8,5,84,63
81,3,6,74,42
82,3,4,78,39
83,1,8,67,28
84,5,4,95,48
85,7,4,67,49
86,9,6,51,62
87,7,4,84,61
88,9,5,65,77
89,8,5,90,72
90,2,7,85,33
91,1,9,82,36
92,7,8,53,70
93,7,4,82,64
94,8,4,63,62
95,5,6,70,58
96,3,9,97,51
97,8,5,69,71
98,6,8,57,63
99,3,7,56,48
100,1,5,52,19
